<DATETIME>,<RETURN>
20180103 101406,0.0000001
20180103 101406,0.0000001
20180103 101406,0.0000001
20180103 101406,0.0000001
20180103 101406,0.0100001
20180103 101407,-0.0499999
20180103 101408,0.0600001
20180103 101408,0.0000001
20180103 101408,0.0100001
20180103 101408,0.0000001
20180103 101408,-0.0599999
20180103 101409,0.0000001
20180103 101409,0.0000001
20180103 101409,0.0000001
20180103 101409,0.0300001
20180103 101414,0.0400001
20180103 101414,0.0000001
20180103 101414,-0.0599999
20180103 101421,-0.0199999
20180103 101423,0.0100001
20180103 101423,-0.0199999
20180103 101425,0.0100001
20180103 101431,-0.0099999
20180103 101431,0.0000001
20180103 101434,0.0100001
20180103 101441,0.0000001
20180103 101442,0.0100001
20180103 101444,0.0300001
20180103 101444,-0.0399999
20180103 101447,0.0100001
20180103 101455,0.0500001
20180103 101508,0.0000001
20180103 101508,0.0000001
20180103 101508,-0.0399999
20180103 101518,0.0300001
20180103 101528,0.0300001
20180103 101533,0.0000001
20180103 101533,-0.0299999
20180103 101536,0.0000001
20180103 101537,0.0000001
20180103 101537,-0.0099999
20180103 101537,0.0000001
20180103 101537,0.0000001
20180103 101537,0.0200001
20180103 101539,-0.0099999
20180103 101540,0.0000001
20180103 101547,0.0000001
20180103 101603,0.0100001
20180103 101603,0.0300001
20180103 101604,0.0000001
20180103 101604,0.0000001
20180103 101604,0.0000001
20180103 101604,0.0000001
20180103 101604,0.0000001
20180103 101604,0.0000001
20180103 101611,0.0000001
20180103 101611,0.0000001
20180103 101611,0.0100001
20180103 101611,0.0000001
20180103 101611,0.0000001
20180103 101611,0.0000001
20180103 101611,0.0000001
20180103 101611,0.0000001
20180103 101611,0.0000001
20180103 101611,0.0000001
20180103 101611,0.0000001
20180103 101611,0.0100001
20180103 101611,0.0000001
20180103 101611,0.0300001
20180103 101611,0.0000001
20180103 101611,0.0000001
20180103 101611,0.0000001
20180103 101611,-0.0199999
20180103 101620,-0.0199999
20180103 101621,-0.0199999
20180103 101621,0.0100001
20180103 101622,0.0000001
20180103 101623,-0.0099999
20180103 101625,-0.0299999
20180103 101629,0.0000001
20180103 101629,0.0000001
20180103 101629,0.0000001
20180103 101629,0.0400001
20180103 101635,0.0000001
20180103 101637,0.0000001
20180103 101640,-0.0199999
20180103 101641,0.0000001
20180103 101641,-0.0499999
20180103 101645,0.0000001
20180103 101647,-0.0099999
20180103 101649,0.0000001
20180103 101649,0.0000001
20180103 101649,0.0000001
20180103 101651,-0.0099999
20180103 101655,-0.0099999
20180103 101655,0.0300001
20180103 101656,0.0100001
20180103 101656,0.0200001
20180103 101656,0.0000001
20180103 101657,-0.0499999
20180103 101703,-0.0099999
20180103 101703,0.0100001
20180103 101710,0.0000001
20180103 101712,0.0000001
20180103 101712,-0.0099999
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,0.0000001
20180103 101712,-0.0399999
20180103 101714,-0.0099999
20180103 101714,0.0500001
20180103 101715,0.0000001
20180103 101715,0.0200001
20180103 101715,0.0000001
20180103 101715,0.0000001
20180103 101715,-0.0199999
20180103 101723,-0.0199999
20180103 101723,0.0200001
20180103 101730,-0.0399999
20180103 101731,0.0000001
20180103 101731,-0.0299999
20180103 101731,0.0100001
20180103 101731,-0.0299999
20180103 101741,0.0100001
20180103 101741,-0.0199999
20180103 101808,0.0000001
20180103 101808,-0.0099999
20180103 101808,0.0000001
20180103 101808,0.0000001
20180103 101808,-0.0099999
20180103 101808,0.0000001
20180103 101808,0.0600001
20180103 101816,-0.0599999
20180103 101833,0.0000001
20180103 101850,0.0100001
20180103 101903,0.0000001
20180103 101903,0.0000001
20180103 101903,0.0000001
20180103 101903,0.0000001
20180103 101903,0.0000001
20180103 101904,0.0000001
20180103 101907,0.0000001
20180103 101908,0.0000001
20180103 101908,0.0000001
20180103 101908,0.0000001
20180103 101908,0.0000001
20180103 101909,0.0000001
20180103 101909,0.0000001
20180103 101909,0.0000001
20180103 101910,0.0000001
20180103 101910,0.0000001
20180103 101910,0.0000001
20180103 101910,0.0000001
20180103 101910,-0.0099999
20180103 101910,0.0000001
20180103 101910,0.0000001
20180103 101910,-0.0299999
20180103 101917,0.0000001
20180103 101918,-0.0099999
20180103 101918,-0.0199999
20180103 101918,-0.0499999
20180103 101918,-0.0199999
20180103 101918,-0.0299999
20180103 101918,0.0000001
20180103 101918,0.0100001
20180103 101920,0.0000001
20180103 101920,0.0000001
20180103 101920,0.0000001
20180103 101920,0.0200001
20180103 101925,0.0200001
20180103 101926,-0.0399999
20180103 101932,0.0000001
20180103 101932,0.0000001
20180103 101932,0.0000001
20180103 101934,-0.0099999
20180103 101934,0.0100001
20180103 101934,-0.0099999
20180103 101934,0.0200001
20180103 101951,0.0600001
20180103 102003,0.0000001
20180103 102003,-0.0399999
20180103 102008,-0.0099999
20180103 102008,0.0000001
